"birthPlace","highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo","PosicionesCenter","PosicionesForward","PosicionesGuard","PosicionesPoint","PosicionesPower","PosicionesShooting","PosicionesSmall"
38,43,3,"Point Guard",4,2,1917,2,12,152.4,335.28,76.5,0,0,0,1,0,0,0
97,40,384,"Center and Power Forward",1,2,1982,10,2,213.36,30.48,108,1,0,0,0,0,0,0
30,6,321,"Shooting Guard and Point Guard",6,2,1967,10,5,182.88,121.92,83.25,0,0,0,0,0,1,0
286,105,389,"Small Forward",7,2,1988,8,30,182.88,274.32,100.8,0,0,0,0,0,0,1
159,33,42,"Center",1,2,1917,9,18,182.88,304.8,105.75,1,0,0,0,0,0,0
55,8,217,"Shooting Guard",6,2,1944,1,22,182.88,91.44,78.75,0,0,0,0,0,1,0
137,5,173,"Shooting Guard",6,2,1953,3,20,182.88,121.92,85.5,0,0,0,0,0,1,0
169,86,90,"Center",1,2,1990,8,13,182.88,335.28,121.5,1,0,0,0,0,0,0
180,65,186,"Shooting Guard",6,2,1936,11,1,182.88,121.92,81,0,0,0,0,0,1,0
70,124,177,"Small Forward",7,2,1986,6,17,182.88,152.4,94.5,0,0,0,0,0,0,1
110,105,264,"Small Forward",7,2,1992,4,27,182.88,152.4,97.2,0,0,0,0,0,0,1
40,21,308,"Center",1,2,1965,9,26,182.88,304.8,123.75,1,0,0,0,0,0,0
102,157,108,"Power Forward and Center",5,2,1982,12,5,213.36,0,132.75,0,0,0,0,1,0,0
19,105,314,"Center",1,2,1970,6,22,213.36,30.48,117,1,0,0,0,0,0,0
114,144,228,"Point Guard",4,2,1944,11,20,182.88,0,76.5,0,0,0,1,0,0,0
57,119,115,"Small Forward",7,1,1982,4,1,182.88,243.84,96.3,0,0,0,0,0,0,1
253,32,337,"Shooting Guard",6,2,1970,2,26,182.88,152.4,90,0,0,0,0,0,1,0
170,105,133,"Small Forward",7,2,1987,11,27,182.88,243.84,96.75,0,0,0,0,0,0,1
112,105,211,"Small Forward",7,2,1971,10,22,182.88,274.32,105.75,0,0,0,0,0,0,1
55,110,28,"Power Forward and Center",5,2,1993,3,11,182.88,304.8,113.85,0,0,0,0,1,0,0
196,49,85,"Center",1,2,1957,1,11,182.88,335.28,112.95,1,0,0,0,0,0,0
239,105,269,"Shooting Guard and Small Forward",6,2,1987,6,23,182.88,152.4,90,0,0,0,0,0,1,0
248,105,56,"Shooting Guard and Small Forward",6,2,1982,8,29,182.88,182.88,103.5,0,0,0,0,0,1,0
66,64,376,"Shooting Guard and Point Guard",6,2,1974,1,28,182.88,30.48,85.05,0,0,0,0,0,1,0
225,121,142,"Shooting Guard",6,2,1998,7,31,182.88,152.4,89.1,0,0,0,0,0,1,0
64,105,49,"Power Forward and Shooting Guard",5,2,1982,4,16,182.88,243.84,112.5,0,0,0,0,1,0,0
67,105,92,"Power Forward and Center",5,2,1982,1,30,213.36,0,135,0,0,0,0,1,0,0
223,14,393,"Center",1,2,1968,2,3,213.36,30.48,109.35,1,0,0,0,0,0,0
19,105,6,"Shooting Guard",6,2,1967,8,26,182.88,60.96,89.1,0,0,0,0,0,1,0
144,105,231,"Shooting Guard",6,2,1999,2,28,182.88,213.36,98.1,0,0,0,0,0,1,0
144,105,135,"Point Guard and Shooting Guard",4,1,1986,5,6,182.88,91.44,85.5,0,0,0,1,0,0,0
144,105,413,"Shooting Guard",6,1,1989,6,22,182.88,152.4,90,0,0,0,0,0,1,0
24,105,306,"Center",1,2,1975,10,27,182.88,335.28,121.5,1,0,0,0,0,0,0
55,105,302,"Guard",3,2,1943,5,30,152.4,91.44,51.3,0,0,1,0,0,0,0
146,171,272,"Shooting Guard and Small Forward",6,2,1984,6,18,182.88,274.32,90,0,0,0,0,0,1,0
118,83,266,"Shooting Guard",6,2,1985,10,26,182.88,91.44,83.25,0,0,0,0,0,1,0
115,105,342,"Center",1,2,1986,7,28,213.36,0,108,1,0,0,0,0,0,0
47,105,391,"Point Guard",4,2,1969,3,1,182.88,91.44,89.1,0,0,0,1,0,0,0
164,81,80,"Point Guard",4,2,1995,7,13,182.88,182.88,85.5,0,0,0,1,0,0,0
127,105,61,"Small Forward",7,2,1989,6,22,182.88,152.4,94.5,0,0,0,0,0,0,1
219,105,392,"Center",1,2,1988,5,5,182.88,335.28,117,1,0,0,0,0,0,0
55,105,125,"Point Guard",4,2,1929,7,2,182.88,30.48,83.25,0,0,0,1,0,0,0
221,105,68,"Center",1,2,1992,7,7,182.88,304.8,119.25,1,0,0,0,0,0,0
