"birthPlace","highSchool","name","position","Posiciones","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo","PosicionesCenter","PosicionesForward","PosicionesGuard","PosicionesPoint","PosicionesPower","PosicionesShooting","PosicionesSmall"
251,105,229,"Center",1,2,1992,7,26,213.36,0,108.45,1,0,0,0,0,0,0
300,126,97,"Power Forward and Center",5,2,1978,6,19,213.36,0,110.25,0,0,0,0,1,0,0
116,105,121,"Point Guard",4,2,1998,7,28,182.88,182.88,90,0,0,0,1,0,0,0
284,105,198,"Center",1,2,1994,8,23,213.36,0,123.75,1,0,0,0,0,0,0
59,46,169,"Power Forward and Center",5,2,1978,10,13,182.88,335.28,101.7,0,0,0,0,1,0,0
136,105,119,"Power Forward and Center",5,2,1975,3,21,182.88,304.8,110.25,0,0,0,0,1,0,0
299,105,369,"Center",1,2,1988,8,30,182.88,335.28,114.75,1,0,0,0,0,0,0
26,105,111,"Point Guard",4,1,1997,10,23,182.88,91.44,85.5,0,0,0,1,0,0,0
301,24,250,"Power Forward and Center",5,2,1979,5,26,182.88,335.28,112.05,0,0,0,0,1,0,0
192,18,77,"Center and Power Forward",1,2,1990,8,6,182.88,304.8,114.75,1,0,0,0,0,0,0
191,105,57,"Small Forward",7,2,1995,4,8,182.88,243.84,96.75,0,0,0,0,0,0,1
270,150,381,"Power Forward and Small Forward",5,2,1984,9,18,182.88,274.32,94.5,0,0,0,0,1,0,0
113,31,289,"Center",1,2,1981,5,11,182.88,304.8,108,1,0,0,0,0,0,0
274,105,410,"Center",1,2,1984,2,10,182.88,335.28,121.5,1,0,0,0,0,0,0
150,131,340,"Power Forward",5,2,1976,4,19,182.88,274.32,108,0,0,0,0,1,0,0
5,174,128,"Center",1,2,1997,7,3,213.36,30.48,108,1,0,0,0,0,0,0
281,105,213,"Small Forward",7,1,1990,7,31,182.88,243.84,101.25,0,0,0,0,0,0,1
36,105,378,"Point Guard",4,2,1982,5,17,182.88,60.96,83.25,0,0,0,1,0,0,0
302,178,156,"Guard",3,2,1924,3,4,182.88,0,78.3,0,0,1,0,0,0,0
213,105,409,"Small Forward",7,1,1966,3,27,182.88,274.32,96.75,0,0,0,0,0,0,1
296,68,296,"Power Forward",5,2,1989,3,14,182.88,274.32,103.5,0,0,0,0,1,0,0
11,105,338,"Small Forward and Shooting Guard",7,2,1983,11,15,182.88,243.84,99,0,0,0,0,0,0,1
55,136,372,"Center",1,2,1950,11,19,213.36,60.96,108,1,0,0,0,0,0,0
73,105,288,"Center",1,2,1985,12,8,213.36,0,104.4,1,0,0,0,0,0,0
24,105,284,"Center",1,2,1986,1,3,182.88,335.28,138.15,1,0,0,0,0,0,0
179,29,202,"Center",1,2,1984,11,10,182.88,304.8,121.5,1,0,0,0,0,0,0
198,105,212,"Center",1,2,1985,2,19,213.36,60.96,108,1,0,0,0,0,0,0
204,105,183,"Center",1,2,1986,1,27,213.36,0,111.15,1,0,0,0,0,0,0
260,137,103,"Shooting Guard",6,2,1964,10,22,182.88,152.4,87.75,0,0,0,0,0,1,0
139,105,255,"Point Guard and Small Forward and Shooting Guard",4,2,1982,2,7,182.88,182.88,96.75,0,0,0,1,0,0,0
175,105,414,"Point Guard and Shooting Guard",4,2,1982,9,12,182.88,213.36,87.75,0,0,0,1,0,0,0
22,105,368,"Center",1,2,1989,11,2,213.36,91.44,115.2,1,0,0,0,0,0,0
189,105,300,"Center",1,2,1985,1,15,213.36,152.4,117,1,0,0,0,0,0,0
141,105,214,"Power Forward",5,2,1995,8,2,213.36,91.44,108,0,0,0,0,1,0,0
256,104,10,"Power Forward",5,2,1993,9,6,182.88,274.32,105.75,0,0,0,0,1,0,0
69,97,257,"Shooting Guard",6,2,1948,8,4,182.88,121.92,87.75,0,0,0,0,0,1,0
229,105,293,"Point Guard",4,2,1977,5,17,182.88,91.44,83.25,0,0,0,1,0,0,0
61,40,361,"Small Forward",7,1,1980,2,28,182.88,274.32,95.4,0,0,0,0,0,0,1
107,105,412,"Power Forward and Center",5,2,1996,1,16,213.36,30.48,94.5,0,0,0,0,1,0,0
267,155,95,"Power Forward and Center",5,2,1967,4,24,182.88,335.28,101.25,0,0,0,0,1,0,0
279,105,394,"Small Forward and Power Forward",7,2,1980,11,19,182.88,304.8,102.15,0,0,0,0,0,0,1
19,105,261,"Center",1,2,1988,1,5,213.36,0,112.5,1,0,0,0,0,0,0
19,105,147,"Point Guard",4,2,1978,3,29,182.88,91.44,82.35,0,0,0,1,0,0,0
85,105,304,"Center",1,2,1985,5,13,213.36,91.44,123.75,1,0,0,0,0,0,0
65,89,122,"Shooting Guard and Small Forward",6,2,1931,7,13,182.88,91.44,85.5,0,0,0,0,0,1,0
68,117,197,"Power Forward and Center",5,1,1994,11,29,182.88,274.32,112.5,0,0,0,0,1,0,0
55,105,126,"Power Forward",5,2,1922,11,13,182.88,182.88,99,0,0,0,0,1,0,0
6,105,411,"Center",1,2,1972,4,9,213.36,0,115.65,1,0,0,0,0,0,0
281,105,110,"Center",1,2,1976,1,11,182.88,335.28,112.5,1,0,0,0,0,0,0
56,105,29,"Shooting Guard",6,2,1971,12,17,182.88,213.36,94.5,0,0,0,0,0,1,0
233,87,295,"Shooting Guard and Small Forward",6,2,1945,3,20,182.88,121.92,92.25,0,0,0,0,0,1,0
62,19,322,"Center",1,2,1956,1,30,182.88,335.28,103.5,1,0,0,0,0,0,0
205,28,265,"Center",1,2,1998,4,1,213.36,30.48,108,1,0,0,0,0,0,0
275,105,347,"Point Guard",4,2,1986,6,12,182.88,91.44,79.2,0,0,0,1,0,0,0
53,175,203,"Point Guard",4,2,1923,9,14,182.88,0,75.6,0,0,0,1,0,0,0
150,105,309,"Point Guard",4,2,1986,2,22,182.88,30.48,83.7,0,0,0,1,0,0,0
80,105,324,"Point Guard",4,2,1990,10,21,182.88,121.92,85.5,0,0,0,1,0,0,0
303,105,75,"Small Forward",7,2,1986,6,17,182.88,304.8,102.6,0,0,0,0,0,0,1
14,105,358,"Power Forward",5,2,1968,10,2,182.88,274.32,108,0,0,0,0,1,0,0
124,105,34,"Center",1,2,1964,12,19,213.36,91.44,125.55,1,0,0,0,0,0,0
29,105,354,"Center",1,2,1978,3,18,213.36,0,103.5,1,0,0,0,0,0,0
257,105,59,"Center",1,2,1984,10,22,213.36,30.48,110.25,1,0,0,0,0,0,0
260,105,81,"Power Forward",5,2,1994,4,8,182.88,304.8,100.35,0,0,0,0,1,0,0
222,105,373,"Shooting Guard and Point Guard",6,2,1991,10,30,182.88,213.36,94.5,0,0,0,0,0,1,0
32,105,91,"Point Guard",4,2,1993,9,15,182.88,30.48,77.4,0,0,0,1,0,0,0
37,105,230,"Power Forward",5,2,1980,4,30,182.88,274.32,108,0,0,0,0,1,0,0
291,105,364,"Small Forward and Shooting Guard",7,2,1984,5,2,182.88,213.36,99,0,0,0,0,0,0,1
277,105,268,"Center",1,2,1986,5,12,182.88,335.28,103.5,1,0,0,0,0,0,0
48,105,208,"Power Forward and Center",5,2,1989,12,7,182.88,274.32,128.25,0,0,0,0,1,0,0
258,132,140,"Center",1,2,1985,8,4,213.36,91.44,137.25,1,0,0,0,0,0,0
34,72,278,"Guard",3,2,1918,9,10,152.4,335.28,81,0,0,1,0,0,0,0
274,105,379,"Small Forward",7,2,1991,10,5,182.88,274.32,97.65,0,0,0,0,0,0,1
158,96,167,"Shooting Guard",6,2,1974,9,29,182.88,91.44,85.5,0,0,0,0,0,1,0
18,105,12,"Shooting Guard",6,2,1988,12,16,182.88,182.88,85.5,0,0,0,0,0,1,0
185,54,66,"Center and Power Forward",1,2,1925,3,15,182.88,243.84,99.9,1,0,0,0,0,0,0
147,69,26,"Shooting Guard",6,2,1999,6,8,182.88,121.92,83.25,0,0,0,0,0,1,0
144,105,385,"Center",1,1,1983,5,14,182.88,304.8,107.1,1,0,0,0,0,0,0
86,50,2,"Shooting Guard",6,2,1936,10,5,182.88,30.48,81,0,0,0,0,0,1,0
90,128,154,"Small Forward and Shooting Guard",7,2,1985,9,9,182.88,182.88,101.25,0,0,0,0,0,0,1
58,105,193,"Small Forward and Power Forward",7,1,1985,12,5,182.88,274.32,101.25,0,0,0,0,0,0,1
55,93,225,"Center",1,2,1980,11,2,182.88,304.8,105.75,1,0,0,0,0,0,0
135,105,386,"Shooting Guard",6,2,1982,8,7,182.88,121.92,87.75,0,0,0,0,0,1,0
121,105,367,"Center and Power Forward",1,2,1985,1,1,182.88,335.28,110.25,1,0,0,0,0,0,0
230,105,172,"Center",1,2,1926,6,17,182.88,274.32,105.75,1,0,0,0,0,0,0
55,25,107,"Forward",2,2,1921,8,15,182.88,30.48,83.25,0,1,0,0,0,0,0
95,10,220,"Small Forward and Shooting Guard",7,2,1949,5,5,182.88,152.4,81,0,0,0,0,0,0,1
93,105,395,"Center",1,2,1976,5,8,213.36,0,106.2,1,0,0,0,0,0,0
91,168,93,"Small Forward and Shooting Guard",7,2,1981,4,3,182.88,152.4,94.5,0,0,0,0,0,0,1
262,105,301,"Small Forward",7,2,1977,6,9,182.88,274.32,99,0,0,0,0,0,0,1
134,35,14,"Center and Power Forward",1,2,1982,11,16,182.88,304.8,110.25,1,0,0,0,0,0,0
267,176,54,"Center",1,2,1980,2,10,213.36,60.96,99,1,0,0,0,0,0,0
10,11,326,"Center",1,2,1985,12,3,213.36,0,110.25,1,0,0,0,0,0,0
149,105,294,"Small Forward",7,2,1988,4,5,182.88,213.36,101.25,0,0,0,0,0,0,1
267,146,407,"Center",1,2,1970,6,15,213.36,0,110.25,1,0,0,0,0,0,0
19,105,102,"Center",1,2,1973,5,9,182.88,304.8,117,1,0,0,0,0,0,0
154,105,109,"Center",1,2,1992,3,22,213.36,91.44,117,1,0,0,0,0,0,0
114,113,245,"Point Guard and Shooting Guard",4,2,1993,2,28,182.88,60.96,85.05,0,0,0,1,0,0,0
175,105,263,"Small Forward and Power Forward",7,2,1985,9,18,182.88,274.32,108.9,0,0,0,0,0,0,1
35,2,341,"Point Guard",4,2,1985,6,9,182.88,0,74.25,0,0,0,1,0,0,0
287,105,259,"Point Guard",4,2,1987,3,19,182.88,152.4,88.2,0,0,0,1,0,0,0
240,105,78,"Center",1,2,1992,4,4,182.88,243.84,109.35,1,0,0,0,0,0,0
16,161,157,"Forward",2,2,1924,12,30,182.88,121.92,92.25,0,1,0,0,0,0,0
44,105,292,"Shooting Guard",6,2,1976,12,18,182.88,182.88,94.5,0,0,0,0,0,1,0
176,105,35,"Small Forward",7,2,1992,7,23,182.88,213.36,88.65,0,0,0,0,0,0,1
78,149,199,"Center",1,2,1995,11,15,213.36,0,111.6,1,0,0,0,0,0,0
295,105,58,"Center",1,2,1979,9,22,213.36,60.96,108,1,0,0,0,0,0,0
235,105,159,"Center",1,2,1979,6,10,213.36,60.96,128.25,1,0,0,0,0,0,0
152,47,226,"Small Forward",7,2,1930,8,31,182.88,152.4,85.5,0,0,0,0,0,0,1
274,105,285,"Small Forward and Power Forward",7,2,1983,4,14,213.36,0,101.25,0,0,0,0,0,0,1
187,105,262,"Power Forward",5,2,1976,6,7,182.88,274.32,106.2,0,0,0,0,1,0,0
115,105,143,"Power Forward and Small Forward",5,2,1979,3,19,182.88,304.8,99,0,0,0,0,1,0,0
28,13,400,"Point Guard",4,2,1976,3,22,182.88,60.96,85.5,0,0,0,1,0,0,0
140,20,251,"Center",1,2,1960,12,28,182.88,335.28,108,1,0,0,0,0,0,0
242,133,168,"Center",1,2,1991,6,21,182.88,304.8,117,1,0,0,0,0,0,0
49,105,37,"Shooting Guard and Point Guard",6,1,1982,7,5,182.88,91.44,92.25,0,0,0,0,0,1,0
267,105,329,"Point Guard",4,2,1984,5,12,182.88,152.4,82.35,0,0,0,1,0,0,0
265,92,383,"Point Guard",4,2,1996,1,5,152.4,304.8,72,0,0,0,1,0,0,0
285,105,188,"Center",1,2,1992,5,6,213.36,0,119.25,1,0,0,0,0,0,0
111,167,166,"Power Forward",5,2,1999,4,3,182.88,274.32,96.3,0,0,0,0,1,0,0
27,105,315,"Center",1,2,1979,5,6,213.36,30.48,117,1,0,0,0,0,0,0
249,105,16,"Power Forward and Center",5,2,1982,9,28,182.88,304.8,122.85,0,0,0,0,1,0,0
199,105,165,"Power Forward",5,2,1990,4,24,182.88,335.28,108,0,0,0,0,1,0,0
290,105,138,"Small Forward",7,2,1967,5,22,182.88,182.88,87.75,0,0,0,0,0,0,1
31,105,175,"Small Forward",7,2,1966,11,15,182.88,274.32,96.75,0,0,0,0,0,0,1
252,105,239,"Small Forward",7,2,1984,5,31,182.88,243.84,101.25,0,0,0,0,0,0,1
193,105,11,"Center",1,2,1964,3,28,182.88,304.8,98.1,1,0,0,0,0,0,0
19,105,353,"Center",1,2,1983,1,30,213.36,152.4,123.75,1,0,0,0,0,0,0
75,105,359,"Center",1,2,1964,1,22,213.36,60.96,117,1,0,0,0,0,0,0
157,105,339,"Point Guard and Shooting Guard",4,2,1984,3,8,182.88,213.36,87.75,0,0,0,1,0,0,0
55,101,30,"Power Forward",5,2,1976,8,12,182.88,243.84,100.8,0,0,0,0,1,0,0
231,34,204,"Power Forward and Small Forward",5,2,1964,8,18,182.88,243.84,94.5,0,0,0,0,1,0,0
226,177,185,"Point Guard",4,2,1990,9,6,182.88,121.92,94.5,0,0,0,1,0,0,0
183,15,150,"Guard",3,2,1930,8,25,152.4,335.28,73.35,0,0,1,0,0,0,0
77,41,196,"Small Forward",7,2,1991,12,18,182.88,243.84,94.5,0,0,0,0,0,0,1
50,108,45,"Point Guard",4,2,1930,3,22,182.88,0,72,0,0,0,1,0,0,0
79,135,246,"Small Forward",7,2,1986,12,4,182.88,213.36,103.5,0,0,0,0,0,0,1
203,105,174,"Small Forward and Shooting Guard",7,2,1980,1,27,182.88,213.36,93.6,0,0,0,0,0,0,1
55,134,352,"Point Guard",4,2,1930,8,29,182.88,30.48,81,0,0,0,1,0,0,0
165,140,227,"Shooting Guard and Point Guard",6,2,1986,10,27,182.88,30.48,78.75,0,0,0,0,0,1,0
81,42,39,"Small Forward",7,2,1957,5,20,182.88,243.84,92.25,0,0,0,0,0,0,1
37,105,331,"Power Forward",5,2,1973,9,30,182.88,304.8,121.5,0,0,0,0,1,0,0
148,142,99,"Small Forward",7,2,1985,12,2,182.88,274.32,92.25,0,0,0,0,0,0,1
74,105,137,"Power Forward",5,2,1995,12,17,182.88,243.84,117,0,0,0,0,1,0,0
88,125,164,"Shooting Guard",6,1,1995,8,16,182.88,182.88,96.75,0,0,0,0,0,1,0
298,61,210,"Small Forward",7,2,1978,12,31,182.88,213.36,95.85,0,0,0,0,0,0,1
105,105,360,"Shooting Guard",6,1,1985,11,6,182.88,274.32,92.25,0,0,0,0,0,1,0
17,105,399,"Center",1,1,1977,7,8,213.36,0,114.75,1,0,0,0,0,0,0
106,105,299,"Small Forward",7,2,1994,2,18,182.88,243.84,96.75,0,0,0,0,0,0,1
267,105,27,"Center",1,2,1997,1,4,182.88,335.28,114.3,1,0,0,0,0,0,0
175,105,153,"Center",1,2,1997,3,18,213.36,30.48,108,1,0,0,0,0,0,0
