"birthPlace","dia","mes","anio","Altura_CM"
122,4,2,1998,182.88
55,26,7,1948,182.88
111,2,1,1986,182.88
124,20,9,1990,213.36
269,16,7,1986,213.36
127,5,3,1996,182.88
282,14,2,1971,213.36
208,13,9,1924,182.88
128,23,2,1997,182.88
23,8,5,1999,182.88
273,26,9,1974,182.88
67,9,3,1977,213.36
263,3,7,1980,182.88
120,24,7,1942,182.88
245,13,6,1980,182.88
186,16,6,1991,182.88
144,30,5,1976,213.36
21,19,5,1992,182.88
248,30,11,1979,182.88
155,10,4,1994,182.88
168,17,8,1924,182.88
251,26,7,1992,213.36
300,19,6,1978,213.36
116,28,7,1998,182.88
284,23,8,1994,213.36
59,13,10,1978,182.88
136,21,3,1975,182.88
299,30,8,1988,182.88
26,23,10,1997,182.88
301,26,5,1979,182.88
192,6,8,1990,182.88
191,8,4,1995,182.88
270,18,9,1984,182.88
113,11,5,1981,182.88
274,10,2,1984,182.88
150,19,4,1976,182.88
5,3,7,1997,213.36
281,31,7,1990,182.88
36,17,5,1982,182.88
302,4,3,1924,182.88
213,27,3,1966,182.88
296,14,3,1989,182.88
11,15,11,1983,182.88
55,19,11,1950,213.36
73,8,12,1985,213.36
24,3,1,1986,182.88
179,10,11,1984,182.88
198,19,2,1985,213.36
204,27,1,1986,213.36
260,22,10,1964,182.88
139,7,2,1982,182.88
175,12,9,1982,182.88
22,2,11,1989,213.36
189,15,1,1985,213.36
141,2,8,1995,213.36
256,6,9,1993,182.88
69,4,8,1948,182.88
229,17,5,1977,182.88
61,28,2,1980,182.88
107,16,1,1996,213.36
267,24,4,1967,182.88
279,19,11,1980,182.88
19,5,1,1988,213.36
19,29,3,1978,182.88
85,13,5,1985,213.36
65,13,7,1931,182.88
68,29,11,1994,182.88
55,13,11,1922,182.88
6,9,4,1972,213.36
281,11,1,1976,182.88
56,17,12,1971,182.88
233,20,3,1945,182.88
62,30,1,1956,182.88
205,1,4,1998,213.36
275,12,6,1986,182.88
53,14,9,1923,182.88
150,22,2,1986,182.88
80,21,10,1990,182.88
303,17,6,1986,182.88
14,2,10,1968,182.88
124,19,12,1964,213.36
29,18,3,1978,213.36
257,22,10,1984,213.36
260,8,4,1994,182.88
222,30,10,1991,182.88
32,15,9,1993,182.88
37,30,4,1980,182.88
291,2,5,1984,182.88
277,12,5,1986,182.88
48,7,12,1989,182.88
258,4,8,1985,213.36
34,10,9,1918,152.4
274,5,10,1991,182.88
158,29,9,1974,182.88
18,16,12,1988,182.88
185,15,3,1925,182.88
147,8,6,1999,182.88
144,14,5,1983,182.88
86,5,10,1936,182.88
90,9,9,1985,182.88
58,5,12,1985,182.88
55,2,11,1980,182.88
135,7,8,1982,182.88
121,1,1,1985,182.88
230,17,6,1926,182.88
55,15,8,1921,182.88
95,5,5,1949,182.88
93,8,5,1976,213.36
91,3,4,1981,182.88
262,9,6,1977,182.88
134,16,11,1982,182.88
267,10,2,1980,213.36
10,3,12,1985,213.36
149,5,4,1988,182.88
267,15,6,1970,213.36
19,9,5,1973,182.88
154,22,3,1992,213.36
114,28,2,1993,182.88
175,18,9,1985,182.88
35,9,6,1985,182.88
287,19,3,1987,182.88
240,4,4,1992,182.88
16,30,12,1924,182.88
44,18,12,1976,182.88
176,23,7,1992,182.88
78,15,11,1995,213.36
295,22,9,1979,213.36
235,10,6,1979,213.36
152,31,8,1930,182.88
274,14,4,1983,213.36
187,7,6,1976,182.88
115,19,3,1979,182.88
28,22,3,1976,182.88
140,28,12,1960,182.88
242,21,6,1991,182.88
49,5,7,1982,182.88
267,12,5,1984,182.88
265,5,1,1996,152.4
285,6,5,1992,213.36
111,3,4,1999,182.88
27,6,5,1979,213.36
249,28,9,1982,182.88
199,24,4,1990,182.88
290,22,5,1967,182.88
31,15,11,1966,182.88
252,31,5,1984,182.88
193,28,3,1964,182.88
19,30,1,1983,213.36
75,22,1,1964,213.36
157,8,3,1984,182.88
55,12,8,1976,182.88
231,18,8,1964,182.88
226,6,9,1990,182.88
183,25,8,1930,152.4
77,18,12,1991,182.88
50,22,3,1930,182.88
79,4,12,1986,182.88
203,27,1,1980,182.88
55,29,8,1930,182.88
165,27,10,1986,182.88
81,20,5,1957,182.88
37,30,9,1973,182.88
148,2,12,1985,182.88
74,17,12,1995,182.88
88,16,8,1995,182.88
298,31,12,1978,182.88
105,6,11,1985,182.88
17,8,7,1977,213.36
106,18,2,1994,182.88
267,4,1,1997,182.88
175,18,3,1997,213.36
