"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Milton in Milton, Florida","Randy Allen","Right","1965","01","26",182.88,243.84,99
"Hillcrest in Dalzell, South Carolina","Ray Allen","Right","1975","07","20",182.88,152.4,92.25
"Crane Technical Preparatory in Chicago, Illinois","Tony Allen","Right","1982","01","11",182.88,121.92,95.85
"Richard Montgomery in Rockville, Maryland","Willie Allen","Right","1949","02","08",182.88,182.88,103.5
"McClymonds in Oakland, California","Odis Allison","Right","1949","10","02",182.88,182.88,87.75
"East in Salt Lake City, Utah","Lance Allred","Right","1981","02","02",182.88,335.28,112.5
"Lynwood in Lynwood, California","Darrell Allums","Right","1958","09","12",182.88,274.32,99
"McEachern in Powder Springs, Georgia","Morris Almond","Right","1985","02","02",182.88,182.88,101.25
"Hoboken in Hoboken, New Jersey","Derrick Alston","Right","1972","08","20",182.88,335.28,101.25
"Benjamin Cardozo in Bayside, New York","Rafer Alston","Right","1976","07","24",182.88,60.96,76.95
"Okota Grammar School in Isolo, Nigeria","Peter Aluma","Right","1973","04","23",182.88,304.8,117
"Saint John's in Toledo, Ohio","John Amaechi","Right","1970","11","26",182.88,304.8,121.5
"Walther Lutheran in Melrose Park, Illinois","Ashraf Amaya","Right","1971","11","23",182.88,243.84,103.5
"Norcross in Norcross, Georgia","Al-Farouq Aminu","Right","1990","09","21",182.88,274.32,99
"Monarch in Louisville, Colorado","Lou Amundson","Right","1982","12","07",182.88,274.32,99
"Monroe in Monroe, Wisconsin","Bob Anderegg","Right","1937","08","24",182.88,91.44,90
"Iola in Iola, Texas","Chris Andersen","Right","1978","07","07",182.88,304.8,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","David Andersen","Right","1980","06","23",182.88,335.28,110.25
"DeLaSalle in Minneapolis, Minnesota","Alan Anderson","Right","1982","10","16",182.88,182.88,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Andrew Anderson","Right","1945","07","06",182.88,60.96,82.8
"Laurinburg Institute in Laurinburg, North Carolina","Antonio Anderson","Right","1985","06","05",182.88,182.88,96.75
"Thomas Edison in Philadelphia, Pennsylvania","Cliff Anderson","Right","1944","09","07",182.88,60.96,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Dan Anderson","Right","1943","02","15",182.88,304.8,103.5
"North Torrance in Torrance, California","Dan Anderson","Right","1951","01","01",182.88,60.96,83.25
"Doss in Louisville, Kentucky","Derek Anderson","Right","1974","07","18",182.88,152.4,87.3
"Roth in Dayton, Ohio","Dwight Anderson","Right","1960","12","28",182.88,91.44,83.25
"Saint Francis DeSales in Chicago, Illinois","Eric Anderson","Right","1970","05","26",182.88,274.32,99
"Evan E. Worthing in Houston, Texas","Greg Anderson","Right","1964","06","22",182.88,304.8,103.5
"Metro in Chicago, Illinois","J.J. Anderson","Right","1960","09","23",182.88,243.84,87.75
"Junction City in Junction City, Arkansas","James Anderson","Right","1989","03","25",182.88,182.88,95.85
"Mullens in Mullens, West Virginia","Jerome Anderson","Right","1953","10","09",182.88,152.4,87.75
"Montrose Christian in Rockville, Maryland","Justin Anderson","Left","1993","11","19",182.88,182.88,103.5
"Archbishop Molloy in Jamaica, New York","Kenny Anderson","Left","1970","10","09",182.88,0,75.6
"Smith-Cotton in Sedali, Missouri","Kim Anderson","Right","1955","05","12",182.88,213.36,90
"St. Anthony's in Jersey City, New Jersey","Kyle Anderson","Right","1993","09","20",182.88,274.32,103.5
"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania","Michael Anderson","Right","1966","03","23",152.4,335.28,82.8
"Simeon Vocational School in Chicago, Illinois","Nick Anderson","Right","1968","01","20",182.88,182.88,92.25
"Rancho Alamitos in Garden Grove, California","Richard Anderson","Right","1960","11","19",182.88,304.8,108
