"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Westinghouse in Pittsburgh, Pennsylvania","Ed Fleming","Right","1933","07","25",182.88,91.44,85.05
"Mater Christi in Astoria, New York","Vern Fleming","Right","1962","02","04",182.88,152.4,83.25
"Norman Thomas in New York, New York","Luis Flores","Right","1981","04","11",182.88,60.96,90
"Berkley in Berkley, Michigan","Bruce Flowers","Right","1957","06","13",182.88,243.84,101.25
"Hunter Huss in Gastonia, North Carolina","Sleepy Floyd","Right","1960","03","06",182.88,91.44,76.5
"Niagara Falls in Niagara Falls, New York","Jonny Flynn","Right","1989","02","06",182.88,0,83.25
"Jeffersonville in Jeffersonville, Indiana","Mike Flynn","Right","1953","07","31",182.88,60.96,81
"Cooley in Detroit, Michigan","Larry Fogle","Right","1953","03","19",182.88,152.4,92.25
"Assumption in Worcester, Massachusetts","Jack Foley","Right","1939","04","19",182.88,91.44,76.5
"Jesuit Carmichael in Sacramento, California","Isaac Fontaine","Right","1975","04","16",182.88,121.92,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Levi Fontaine","Right","1948","11","01",182.88,121.92,85.5
"Spencer-Van Etten in Spencer, New York","Jeff Foote","Right","1987","07","14",213.36,0,119.25
"Sexton in Lansing, Michigan","Bryn Forbes","Right","1993","07","23",182.88,91.44,85.5
"Benjamin Banneker Academy in Brooklyn, New York","Gary Forbes","Right","1985","02","25",182.88,213.36,99
"Amanda Elzy in Greenwood, Mississippi","Alphonso Ford","Right","1971","10","31",182.88,30.48,85.5
"Milby in Houston, Texas","Alton Ford","Right","1981","05","29",182.88,274.32,123.75
"North in Evansville, Indiana","Bob Ford","Right","1950","01","26",182.88,213.36,102.6
"Holy Spirit in Absecon, New Jersey","Chris Ford","Right","1949","01","11",182.88,152.4,85.5
"Santa Barbara in Santa Barbara, California","Don Ford","Right","1952","12","31",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Jake Ford","Right","1946","04","29",182.88,91.44,81
"Rocky Mount in Rocky Mount, North Carolina","Phil Ford","Right","1956","02","09",182.88,60.96,78.75
"Hargrave Military Academy in Chatham, Virginia","Sharrod Ford","Right","1982","01","09",182.88,274.32,101.25
"Proviso East in Maywood, Illinois","Sherell Ford","Right","1972","08","26",182.88,213.36,94.5
"Willowridge in Houston, Texas","T.J. Ford","Right","1983","03","24",182.88,0,74.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Donnie Forman","Right","1926","01","17",152.4,304.8,78.75
"Bandon in Bandon, Oregon","Bayard Forrest","Right","1954","07","08",182.88,304.8,105.75
"Dematha Catholic in Hyattsville, Maryland","Joseph Forte","Right","1981","03","23",182.88,121.92,87.3
"The Patterson School in Patterson, North Carolina","Courtney Fortson","Left","1988","05","23",152.4,335.28,83.25
"Shaler Area in Pittsburgh, Pennsylvania","Danny Fortson","Right","1976","03","27",182.88,213.36,117
"Springfield South in Springfield, Ohio","Fred Foster","Right","1946","03","18",182.88,152.4,94.5
"Skyline in Oakland, California","Greg Foster","Right","1968","10","03",182.88,335.28,108
"James Madison in San Antonio, Texas","Jeff Foster","Right","1977","01","16",182.88,335.28,106.2
"Oak Hill Academy in Mouth of Wilson, Virginia","Jimmy Foster","Right","1951","12","16",182.88,30.48,78.75
"Saint Thomas Aquinas in New Britain, Connecticut","Rod Foster","Right","1960","10","10",182.88,30.48,72
"Oak Hill Academy in Mouth of Wilson, Virginia","Antonis Fotsis","Right","1981","04","01",182.88,304.8,98.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Evan Fournier","Right","1992","10","29",182.88,213.36,92.25
"South Catholic in Philadelphia, Pennsylvania","Larry Foust","Right","1928","06","24",182.88,274.32,96.75
"David B. Oliver in Pittsburgh, Pennsylvania","Calvin Fowler","Right","1940","02","11",182.88,0,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Jerry Fowler","Right","1927","06","20",182.88,243.84,103.5
"Crenshaw in Los Angeles, California","Tremaine Fowlkes","Right","1976","04","11",182.88,243.84,99
"Cypress Lakes in Katy, Texas","De'Aaron Fox","Left","1997","12","20",182.88,91.44,78.75
"Northwestern in Hyattsville, Maryland","Harold Fox","Right","1949","08","29",182.88,60.96,78.75
"Gordon in Barnesville, Georgia","Jim Fox","Right","1943","04","07",182.88,304.8,103.5
"Warsaw Community in Warsaw, Indiana","Rick Fox","Right","1969","07","24",182.88,213.36,103.5
"East Side in Newark, New Jersey","Randy Foye","Right","1983","09","24",182.88,121.92,95.85
"Hamilton Central in Hamilton, New York","Adonal Foyle","Right","1975","03","09",182.88,304.8,112.5
"Battle Ground in Battle Ground, Washington","Richie Frahm","Right","1977","08","14",182.88,152.4,94.5
"Montgomery Blair in Silver Spring, Maryland","Steve Francis","Right","1977","02","21",182.88,91.44,87.75
"Lew Wallace in Gary, Indiana","Tellis Frank","Right","1965","04","26",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Nat Frankel","Right","1913","11","03",182.88,0,87.75
"Westwind Prep in Phoenix, Arizona","Jamaal Franklin","Right","1991","07","21",182.88,152.4,85.95
"Norfolk in Norfolk, Virginia","William Franklin","Right","1949","10","19",182.88,213.36,99
"Bishop Ward in Kansas City, Kansas","Ronald Franz","Right","1945","10","20",182.88,213.36,92.25
"L.W. Higgins in Marrero, Louisiana","Melvin Frazier","Left","1996","08","30",182.88,182.88,90
"Strake Jesuit in Houston, Texas","Tim Frazier","Right","1990","11","01",182.88,30.48,76.5
"David T. Howard in Atlanta, Georgia","Walt Frazier","Right","1945","03","29",182.88,121.92,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Will Frazier","Right","1942","08","24",182.88,213.36,94.5
"Gardena in Gardena, California","Anthony Frederick","Right","1964","12","07",182.88,213.36,92.25
"Glens Falls in Glens Falls, New York","Jimmer Fredette","Right","1989","02","25",182.88,60.96,87.75
"Canarsie in Brooklyn, New York","World B. Free","Right","1953","12","09",182.88,60.96,83.25
"Farnham Heath End School in Farnham, United Kingdom","Joel Freeland","Right","1987","02","07",182.88,304.8,112.5
"Madison in Madison, Illinois","Donnie Freeman","Right","1944","07","18",182.88,91.44,83.25
"Borah in Boise, Idaho","Gary Freeman","Right","1948","07","25",182.88,274.32,94.5
"Anderson in Anderson, Indiana","Rod Freeman","Right","1950","11","05",182.88,213.36,101.25
"Shawnee Mission West in Overland Park, Kansas","Matt Freije","Right","1981","10","02",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Frido Frey","Right","1921","10","26",182.88,60.96,87.75
"Fairfax in Los Angeles, California","Larry Friend","Right","1935","04","14",182.88,121.92,83.25
"Wheat Ridge in Wheat Ridge, Colorado","Pat Frink","Right","1945","02","18",182.88,121.92,87.75
"Humboldt in Saint Paul, Minnesota","Jim Fritsche","Right","1931","12","10",182.88,243.84,94.5
"Saint Mary's in Phoenix, Arizona","Channing Frye","Right","1983","05","17",213.36,0,114.75
"Port Angeles in Port Angeles, Washington","Bernie Fryer","Right","1949","12","25",182.88,91.44,83.25
"Bryant in Astoria, New York","Frank Fucarino","Right","1920","07","24",182.88,60.96,78.75
"Poly in San Francisco, California","Herm Fuetsch","Right","1918","07","06",182.88,0,76.5
"Kuttawa in Kuttawa, Kentucky","Joe Fulks","Right","1921","10","26",182.88,152.4,85.5
"Murray in Saint Augustine, Florida","Carl Fuller","Right","1946","01","10",182.88,274.32,101.25
"Stadium in Tacoma, Washington","Hiram Fuller","Right","1981","05","15",182.88,274.32,108
"Charlotte Christian in Charlotte, North Carolina","Todd Fuller","Left","1974","07","25",182.88,335.28,114.75
"Saint Martin de Porres in Detroit, Michigan","Tony Fuller","Right","1958","09","04",182.88,121.92,81
"DeMatha Catholic in Hyattsville, Maryland","Markelle Fultz","Right","1998","05","29",182.88,121.92,90
"Wehrle in Columbus, Ohio","Lawrence Funderburke","Left","1970","12","15",182.88,274.32,103.5
"Flint Northern in Flint, Michigan","Terry Furlow","Left","1954","10","18",182.88,121.92,85.5
"Binghamton Central in Binghamton, New York","Bill Gabor","Right","1922","05","13",152.4,335.28,76.5
"Governor Dummer Academy in Byfield, Massachusetts","Dan Gadzuric","Right","1978","02","02",182.88,335.28,108
"Milford Academy in Milford, Connecticut","Deng Gai","Right","1982","03","22",182.88,274.32,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Elmer Gainer","Right","1918","11","22",182.88,182.88,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bill Gaines","Right","1946","03","10",182.88,121.92,83.25
"Saint Bernard in Playa del Rey, California","Corey Gaines","Right","1965","06","01",182.88,91.44,87.75
"Northeastern in Detroit, Michigan","David Gaines","Right","1942","02","27",182.88,30.48,76.5
"Madison West in Madison, Wisconsin","Reece Gaines","Right","1981","01","07",182.88,182.88,92.25
"Archbishop Molloy in Jamaica, New York","Sundiata Gaines","Right","1986","04","18",182.88,30.48,83.25
"Overbrook in Philadelphia, Pennsylvania","Mike Gale","Right","1950","07","18",182.88,121.92,83.25
"Boylan Central Catholic in Rockford, Illinois","Chad Gallagher","Right","1969","05","30",182.88,304.8,114.75
"Roxana in Roxana, Illinois","Harry Gallatin","Right","1927","04","26",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Danilo Gallinari","Right","1988","08","08",182.88,304.8,101.25
"Christian Life Academy in Baton Rouge, Louisiana","Langston Galloway","Right","1991","12","09",182.88,60.96,90
"Corvallis in Corvallis, Oregon","Dave Gambee","Right","1937","04","16",182.88,182.88,96.75
"Lanphier in Springfield, Illinois","Kevin Gamble","Right","1965","11","13",182.88,152.4,94.5
"Durham in Durham, North Carolina","Bob Gantt","Right","1922","06","22",182.88,121.92,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Jorge Garbajosa","Right","1977","12","19",182.88,274.32,110.25
"Colegio Abel Bravo in Colon, Panama","Ruben Garces","Right","1973","10","17",182.88,274.32,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Garcia","Left","1980","03","04",182.88,91.44,99
"Winchendon School in Winchendon, Massachusetts","Francisco Garcia","Right","1981","12","31",182.88,213.36,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Chuck Gardner","Right","1944","09","30",182.88,243.84,92.25
"New Market in New Market, Indiana","Earl Gardner","Right","1923","09","18",182.88,91.44,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Kenneth Gardner","Right","1949","09","27",182.88,152.4,92.25
"Jefferson in Portland, Oregon","Thomas Gardner","Right","1985","02","08",182.88,152.4,101.25
"Star Valley in Afton, Wyoming","Vern Gardner","Right","1925","05","14",182.88,152.4,90
"Thomas Jefferson in Brooklyn, New York","Jack Garfinkel","Right","1918","06","13",182.88,0,85.5
"Montverde Academy in Montverde, Florida","Patricio Garino","Right","1993","05","17",182.88,182.88,94.5
"Clifford J. Scott in East Orange, New Jersey","Gary Garland","Right","1957","10","12",182.88,121.92,81
"Roosevelt in Gary, Indiana","Winston Garland","Right","1964","12","19",182.88,60.96,76.5
"Hibbing in Hibbing, Minnesota","Dick Garmaker","Right","1932","10","29",182.88,91.44,90
"East St. Louis in East St. Louis, Illinois","Bill Garner","Right","1940","06","17",182.88,304.8,99
"Treadwell in Memphis, Tennessee","Chris Garner","Right","1975","02","02",152.4,304.8,70.2
"Regis in Denver, Colorado","Bill Garnett","Right","1960","04","22",182.88,274.32,101.25
"Farragut Career Academy in Chicago, Illinois","Kevin Garnett","Right","1976","05","19",182.88,335.28,108
"Hamilton in Los Angeles, California","Marlon Garnett","Right","1975","07","03",182.88,60.96,83.7
"Morgan Park HS in Chicago, Illinois","Billy Garrett","Right","1994","10","16",182.88,182.88,95.85
"East in Nashville, Tennessee","Calvin Garrett","Right","1956","07","11",182.88,213.36,85.5
"San Clemente in San Clemente, California","Dean Garrett","Right","1966","11","27",182.88,304.8,101.25
"Vincent in Milwaukee, Wisconsin","Diante Garrett","Right","1988","11","03",182.88,121.92,85.5
"Centralia in Centralia, Illinois","Dick Garrett","Right","1947","01","31",182.88,91.44,83.25
"Rogers in Canton, Mississippi","Rowland Garrett","Right","1950","07","16",182.88,182.88,94.5
"West Warwick in West Warwick, Rhode Island","Tom Garrick","Right","1966","07","07",182.88,60.96,83.25
"Bassick in Bridgeport, Connecticut","John Garris","Right","1959","06","06",182.88,243.84,92.25
"Westinghouse in Chicago, Illinois","Kiwane Garris","Right","1974","09","24",182.88,60.96,82.35
"Lewis Palmer in Monument, Colorado","Pat Garrity","Right","1976","08","23",182.88,274.32,107.1
"Oak Hill Academy in Mouth of Wilson, Virginia","Jim Garvin","Right","1950","02","05",182.88,213.36,90
"Lausanne Collegiate School in Memphis, Tennessee","Marc Gasol","Right","1985","01","29",213.36,30.48,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Pau Gasol","Right","1980","07","06",213.36,0,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Frank Gates","Right","1920","04","12",182.88,0,72
"Elizabeth in Elizabeth, New Jersey","Chris Gatling","Left","1967","09","03",182.88,304.8,99
"New Hanover in Wilmington, North Carolina","Kenny Gattison","Right","1964","05","23",182.88,243.84,101.25
"Archbishop Spalding in Severn, Maryland","Rudy Gay","Right","1986","08","17",182.88,243.84,103.5
"Hoquiam in Hoquiam, Washington","Ed Gayda","Right","1927","05","11",182.88,121.92,94.5
"Albert Park in Melbourne, Australia","Andrew Gaze","Right","1965","07","24",182.88,213.36,92.25
"Benedictine College Prep in Richmond, Virginia","Michael Gbinije","Right","1992","06","05",182.88,213.36,90
"Mater Dei in Santa Ana, California","Reggie Geary","Right","1973","08","31",182.88,60.96,84.15
"William T. Dwyer in Palm Beach Gardens, Florida","Alonzo Gee","Right","1987","05","29",182.88,182.88,101.25
"Countryside in Clearwater, Florida","Matt Geiger","Right","1969","09","10",213.36,0,109.35
"Oak Hill Academy in Mouth of Wilson, Virginia","Mickael Gelabale","Right","1983","05","22",182.88,213.36,96.75
"Benilde-Saint Margaret in St. Louis Park, Minnesota","Devean George","Right","1977","08","29",182.88,243.84,99
"St. John's College in Washington, District of Columbia","Jack George","Right","1928","11","13",182.88,60.96,85.5
"Knight in Palmdale, California","Paul George","Right","1990","05","02",182.88,274.32,99
"Union Catholic Regional in Scotch Plains, New Jersey","Tate George","Right","1968","05","29",182.88,152.4,85.5
"North Clayton in College Park, Georgia","Marcus Georges-Hunt","Right","1994","03","28",182.88,152.4,97.2
"Laurel Highlands in Uniontown, Pennsylvania","Gus Gerard","Right","1953","07","27",182.88,243.84,90
"Martin Luther King in Detroit, Michigan","Derrick Gervin","Right","1963","03","28",182.88,243.84,90
"Martin Luther King in Detroit, Michigan","George Gervin","Right","1952","04","27",182.88,213.36,81
"Jenkintown in Jenkintown, Pennsylvania","Gorham Getchell","Right","1920","08","14",182.88,121.92,92.25
"Edison in Stockton, California","John Gianelli","Right","1950","06","10",182.88,304.8,99
"Ames in Ames, Iowa","Dick Gibbs","Right","1948","12","20",182.88,152.4,94.5
"Jones in Houston, Texas","Daniel Gibson","Right","1986","02","27",182.88,60.96,85.5
"Bradley in Cleveland, Tennessee","Dee Gibson","Right","1923","08","25",152.4,335.28,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Hoot Gibson","Right","1921","12","05",182.88,152.4,89.1
"Calvary Christian in San Fernando, California","Jonathan Gibson","Right","1987","11","08",182.88,60.96,83.25
"Rockingham in Rockingham, North Carolina","Mel Gibson","Right","1940","12","30",182.88,91.44,81
"Hemingway in Hemingway, South Carolina","Mike Gibson","Right","1960","10","27",182.88,304.8,92.25
"Calvary Christian in San Fernando, California","Taj Gibson","Right","1985","06","24",182.88,274.32,104.4
"John Marshall in Oklahoma City, Oklahoma","J.R. Giddens","Right","1985","02","13",182.88,152.4,96.75
"DeSoto in DeSoto, Texas","Trey Gilder","Right","1985","01","24",182.88,274.32,83.25
"Forest Trail Academy in Kernersville, North Carolina","Harry Giles","Right","1998","04","22",182.88,304.8,108
"Hamilton Heights Christian HS in Chattanooga, Tennessee","Shai Gilgeous-Alexander","Right","1998","07","12",182.88,182.88,81.45
"Overland in Aurora, Colorado","Eddie Gill","Right","1978","08","16",182.88,0,85.5
"Rich Central in Olympia Fields, Illinois","Kendall Gill","Right","1968","05","25",182.88,152.4,87.75
"Central in Detroit, Michigan","Ben Gillery","Right","1965","09","19",213.36,0,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Jack Gillespie","Right","1947","10","01",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gene Gillette","Right","1948","07","26",182.88,60.96,92.25
"Bethel Park in Bethel Park, Pennsylvania","Armen Gilliam","Right","1964","05","28",182.88,274.32,103.5
"Atkins in Winston-Salem, North Carolina","Herm Gilliam","Right","1946","05","05",182.88,91.44,85.5
"Carver in Dothan, Alabama","Artis Gilmore","Left","1949","09","21",213.36,60.96,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Walt Gilmore","Right","1947","02","27",182.88,182.88,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Chuck Gilmur","Right","1922","08","13",182.88,121.92,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Manu Ginobili","Left","1977","07","28",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Gordan Giricek","Right","1977","06","20",182.88,182.88,94.5
"Bryan Station in Lexington, Kentucky","Jack Givens","Left","1956","09","21",182.88,152.4,92.25
"Sylacauga in Sylacauga, Alabama","Mickell Gladness","Right","1986","07","26",182.88,335.28,99
"Allentown Preparatory School in Allentown, Pennsylvania","George Glamack","Right","1918","06","07",182.88,182.88,101.25
"Amanda Elzy in Greenwood, Mississippi","Gerald Glass","Right","1967","11","12",182.88,152.4,99.45
"Coosa in Rome, Georgia","Mike Glenn","Right","1955","09","10",182.88,60.96,78.75
"Manual Arts in Los Angeles, California","Normie Glick","Right","1927","11","10",182.88,213.36,85.5
"Jambol in Jambol, Bulgaria","Georgi Glouchkov","Right","1960","01","10",182.88,243.84,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Clarence Glover","Right","1947","11","01",182.88,243.84,94.5
"Cedar Grove in Ellenwood, Georgia","Dion Glover","Right","1978","10","22",182.88,152.4,102.6
"Oak Hill Academy in Mouth of Wilson, Virginia","Andreas Glyniadakis","Right","1981","08","21",213.36,30.48,126
"Masuk in Monroe, Connecticut","Mike Gminski","Right","1959","08","03",182.88,335.28,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Rudy Gobert","Right","1992","06","26",213.36,30.48,110.25
"Stillman Valley in Stillman Valley, Illinois","Dan Godfread","Right","1967","06","14",182.88,304.8,112.5
"La Salle College in Philadelphia, Pennsylvania","Tom Gola","Right","1933","01","13",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Ben Goldfaden","Right","1913","09","06",182.88,30.48,83.25
"Suncoast in Riviera Beach, Florida","Anthony Goldwire","Right","1971","09","06",182.88,30.48,81.9
"Wilby in Waterbury, Connecticut","Ryan Gomes","Right","1982","09","01",182.88,213.36,112.5
"Boulder in Boulder, Colorado","Glen Gondrezick","Right","1955","08","30",182.88,182.88,98.1
"Boulder in Boulder, Colorado","Grant Gondrezick","Right","1963","01","19",182.88,152.4,92.25
"El Cerrito in El Cerrito, California","Drew Gooden","Right","1981","09","24",182.88,304.8,112.5
"Polytechnic in Sun Valley, California","Gail Goodrich","Left","1943","04","23",182.88,30.48,76.5
"William Penn Charter School in Philadelphia, Pennsylvania","Steve Goodrich","Right","1976","03","18",182.88,304.8,99
"Sylvan Hills in Sherwood, Arkansas","Archie Goodwin","Right","1994","08","17",182.88,152.4,90
"Norcross HS in Norcross, Georgia","Brandon Goodwin","Right","1995","10","02",182.88,60.96,81
"St. John's Prep in Brooklyn, New York","Pop Goodwin","Right","1920","12","22",182.88,60.96,91.35
"Archbishop Mitty in San Jose, California","Aaron Gordon","Right","1995","09","16",182.88,274.32,99
"Mount Vernon in Mount Vernon, New York","Ben Gordon","Right","1983","04","04",182.88,91.44,90
"Archbishop Mitty in San Jose, California","Drew Gordon","Right","1990","07","12",182.88,274.32,110.25
"North Central in Indianapolis, Indiana","Eric Gordon","Right","1988","12","25",182.88,121.92,96.75
"Jim Hill in Jackson, Mississippi","Lancaster Gordon","Right","1962","06","24",182.88,91.44,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Paul Gordon","Right","1927","04","08",182.88,91.44,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Marcin Gortat","Right","1984","02","17",182.88,335.28,108
"DeWitt Clinton in Bronx, New York","Leo Gottlieb","Right","1920","11","28",152.4,335.28,81
"Stone Mountain in Stone Mountain, Georgia","Andrew Goudelock","Right","1988","12","07",182.88,91.44,90
"Snyder in Jersey City, New Jersey","Gerald Govan","Right","1942","01","02",182.88,304.8,99
"Lane Technical in Chicago, Illinois","Bato Govedarica","Right","1928","04","17",152.4,335.28,83.25
"Tuley in Chicago, Illinois","Joe Graboski","Right","1930","01","15",182.88,213.36,87.75
"Wilmer-Hutchins in Dallas, Texas","Ricky Grace","Left","1967","08","20",182.88,30.48,81
"Morris in New York, New York","Calvin Graham","Right","1944","06","07",182.88,60.96,87.75
"Brewster Academy in Wolfeboro, New Hampshire","Devonte' Graham","Right","1995","02","22",182.88,60.96,83.25
"Warren Central in Indianapolis, Indiana","Greg Graham","Right","1970","11","26",182.88,121.92,78.3
"Brandon in Brandon, Florida","Joey Graham","Right","1982","06","11",182.88,213.36,101.25
"White Plains in White Plains, New York","Mal Graham","Right","1945","02","23",182.88,30.48,83.25
"Sidney Lanier in Montgomery, Alabama","Orlando Graham","Right","1965","05","05",182.88,243.84,99
"Benjamin Franklin in Philadelphia, Pennsylvania","Paul Graham","Right","1967","11","28",182.88,182.88,90
"Brandon in Brandon, Florida","Stephen Graham","Right","1982","06","11",182.88,182.88,96.75
"St. Mary's Ryken in Leonardtown, Maryland","Treveon Graham","Right","1993","10","28",182.88,152.4,101.25
"Central in Elkhart, Indiana","Jim Grandholm","Right","1960","10","04",213.36,0,105.75
"Saint Bernard in Playa del Rey, California","Ron Grandison","Right","1964","07","09",182.88,182.88,96.75
"Grace King in Metairie, Louisiana","Danny Granger","Right","1983","04","20",182.88,274.32,99.9
"Nazareth Regional in Brooklyn, New York","Stewart Granger","Right","1961","10","27",182.88,91.44,85.5
"Georgetown in Georgetown, Ohio","Brian Grant","Right","1972","03","05",182.88,274.32,114.3
"Central in Superior, Wisconsin","Bud Grant","Right","1927","05","20",182.88,91.44,87.75
"McKinley in Canton, Ohio","Gary Grant","Right","1965","04","21",182.88,91.44,83.25
"Central in Trenton, New Jersey","Greg Grant","Right","1966","08","29",152.4,213.36,63
"Hancock Central in Sparta, Georgia","Harvey Grant","Right","1965","07","04",182.88,243.84,87.75
"Hancock Central in Sparta, Georgia","Horace Grant","Right","1965","07","04",182.88,304.8,96.75
"DeMatha in Hyattsville, Maryland","Jerami Grant","Right","1994","03","12",182.88,274.32,99
"DeMatha in Hyattsville, Maryland","Jerian Grant","Right","1992","10","09",182.88,121.92,92.25
"East in Salt Lake City, Utah","Josh Grant","Right","1967","08","07",182.88,274.32,100.35
"Brother Rice in Birmingham, Michigan","Paul Grant","Right","1974","01","06",213.36,0,110.25
"Barbour County Training School in Clayton, Alabama","Travis Grant","Right","1950","01","01",182.88,213.36,96.75
"Hargrave Military Academy in Chatham, Virginia","Donte Grantham","Right","1995","03","19",182.88,243.84,96.75
"Greenfield in Greenfield, Ohio","Don Grate","Right","1923","08","27",182.88,60.96,83.25
"Scarsdale in Scarsdale, New York","Butch Graves","Right","1962","01","05",182.88,91.44,90
"Emmaus in Emmaus, Pennsylvania","Aaron Gray","Right","1984","12","07",213.36,0,121.5
"Saint Frances Academy in Baltimore, Maryland","Devin Gray","Left","1972","05","31",182.88,213.36,108
"North in Riverside, California","Ed Gray","Right","1975","09","27",182.88,91.44,94.5
"Bloomington in Bloomington, California","Evric Gray","Right","1969","12","13",182.88,213.36,105.75
"Fort Cobb in Fort Cobb, Oklahoma","Gary Gray","Right","1945","02","23",182.88,30.48,83.25
"Wheatley HS in Houston, Texas","Josh Gray","Right","1993","09","09",182.88,30.48,81
"Sumner in Kansas City, Kansas","Leonard Gray","Right","1951","12","19",182.88,243.84,108
"John F. Kennedy in Granada Hills, California","Stuart Gray","Right","1963","05","27",213.36,0,105.75
"Bolton in Arlington, Tennessee","Sylvester Gray","Right","1967","07","08",182.88,182.88,103.5
"Akron South in Akron, Ohio","Wyndol Gray","Right","1922","03","20",182.88,30.48,78.75
"Flint Northwestern in Flint, Michigan","Jeff Grayer","Right","1965","12","17",182.88,152.4,90
"Merchantville in Merchantville, New Jersey","Bob Greacen","Right","1947","09","15",182.88,213.36,92.7
"Benson Polytechnic in Portland, Oregon","A.C. Green","Right","1963","10","04",182.88,274.32,99
"St. Mary's in Manhasset, New York","Danny Green","Right","1987","06","22",182.88,182.88,96.75
"Beechcroft in Columbus, Ohio","Devin Green","Right","1982","10","25",182.88,213.36,94.5
"Saginaw in Saginaw, Michigan","Draymond Green","Right","1990","03","04",182.88,213.36,103.5
"Paul VI in Fairfax, Virginia","Erick Green","Right","1991","05","09",182.88,121.92,83.25
"Gulf Shores Academy in Houston, Texas","Gerald Green","Right","1986","01","26",182.88,213.36,92.25
"St. Jude in Montgomery, Alabama","JaMychal Green","Right","1990","06","21",182.88,274.32,102.15
"Northwestern in Hyattsville, Maryland","Jeff Green","Right","1986","08","28",182.88,274.32,105.75
"Paul Laurence Dunbar in Dayton, Ohio","Johnny Green","Left","1933","12","08",182.88,152.4,90
"Newman in Newman, Georgia","Ken Green","Right","1959","09","19",182.88,243.84,96.75
"Eustis in Eustis, Florida","Kenny Green","Right","1964","10","11",182.88,182.88,94.5
"Carver in Birmingham, Alabama","Lamar Green","Right","1947","03","22",182.88,213.36,94.5
"Moss Point in Moss Point, Mississippi","Litterial Green","Right","1970","03","07",182.88,30.48,83.25
"DeWitt Clinton in Bronx, New York","Luther Green","Right","1946","11","13",182.88,213.36,85.5
"Higgins in McComb, Mississippi","Mike Green","Right","1951","08","06",182.88,304.8,90
"Hirsch Metro in Chicago, Illinois","Rickey Green","Right","1954","08","18",182.88,0,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Sean Green","Right","1970","02","02",182.88,152.4,94.5
"Boys in Brooklyn, New York","Si Green","Right","1933","08","20",182.88,60.96,83.25
"Thomas Jefferson in Brooklyn, New York","Sidney Green","Right","1961","01","04",182.88,274.32,99
"Silver Creek in Sellersburg, Indiana","Steve Green","Right","1953","10","04",182.88,213.36,99
"Cardinal Gibbons in Ft. Lauderdale, Florida","Taurean Green","Right","1986","11","28",182.88,0,79.65
"McKinley in Baton Rouge, Louisiana","Tommie Green","Right","1956","04","08",182.88,60.96,83.25
"Cooley in Detroit, Michigan","Willie Green","Right","1981","07","28",182.88,121.92,90
"Towson Catholic in Towson, Maryland","Donte Greene","Right","1988","02","21",182.88,335.28,101.7
"Gainesville in Gainesville, Florida","Orien Greene","Right","1982","02","04",182.88,121.92,93.6
"Weequahic in Newark, New Jersey","Jerry Greenspan","Right","1941","11","22",182.88,152.4,87.75
"Verbum Dei in Los Angeles, California","Dave Greenwood","Right","1957","05","27",182.88,274.32,99.9
"Douglass in Huntington, West Virginia","Hal Greer","Right","1936","06","26",182.88,60.96,78.75
"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania","Lynn Greer","Left","1979","10","23",182.88,60.96,78.75
"South Charleston in Charleston, West Virginia","Gary Gregor","Right","1945","08","13",182.88,213.36,101.25
"Coolidge in Washington, District of Columbia","Claude Gregory","Right","1958","12","26",182.88,243.84,92.25
"Timberline in Olympia, Washington","John Greig","Right","1961","04","28",182.88,213.36,96.75
